Operational unit,Unit code,Internal cost code,CIPFA expenses type,Transaction date,Transaction number,Net amount,Supplier name,Supplier ID
Corporate Training,TR12,Staff training,Employees,2014-02-01,619372,2780,Inspiring Business Performance Ltd,14501
Computer Administration,DR05,Professional,Supplies & Services,2014-02-01,619386,6667,Oxford City Council,13358
Computer Administration,CE10,Software support and maintenance,Supplies & Services,2014-02-01,619399,2236.5,Dell Software International Ltd,15689
Central Planning,CB01,Climate Corporate Planning,Supplies & Services,2014-02-01,619400,4652,Stanburys Limited,15695
Development Management,CE99,Agency staff,Employees,2014-03-01,3031557,1676.25,Champion Recruitment,10148
Personnel Administration,CE99,Agency staff,Employees,2014-03-01,3031561,1528.28,Champion Recruitment,10148
Development Management,PA01,Agency staff,Employees,2014-03-01,3031562,564.38,Champion Recruitment,10148
Policy Team,DN01,Agency staff,Employees,2014-03-01,3031563,2268.8,Champion Recruitment,10148
Development Management,AD02,Agency staff,Employees,2014-03-01,3031564,707.62,Champion Recruitment,10148
DC - Vale Recharges,DN01,Agency staff,Employees,2014-03-01,3031566,1383.49,Champion Recruitment,10148
DC - Vale Recharges,PP01,Agency staff,Employees,2014-03-01,3031568,2703.68,Champion Recruitment,10148
Development Management,DN01,Agency staff,Employees,2014-03-01,3031458,508.48,Allen Associates (Oxford) Ltd,10892
Conservation and Design,DN10,Agency staff,Employees,2014-03-01,3031458,508.48,Allen Associates (Oxford) Ltd,10892
Hackney Carriage Licences,DN10,Agency staff,Employees,2014-03-01,3031522,508.48,Allen Associates (Oxford) Ltd,10892
Pension Costs - Compens,DN01,Agency staff,Employees,2014-03-01,3031522,508.48,Allen Associates (Oxford) Ltd,10892
Pension Costs - Compens,CN01,Agency staff,Employees,2014-03-01,3031541,3300,The Conservation Studio Ltd,14725
Facilities Management,FM01,Water rates,Premises,2014-03-01,3031371,990.79,THAMES WATER UTILITIES Ltd,10712
Personnel Administration,CE70,Communications - Telephones & Fax,Supplies & Services,2014-03-01,3031450,2531.76,Vodafone(Cable&wireless),14764
Housing Development Vale Recharges,CE70,Communications - Telephones & Fax,Supplies & Services,2014-03-01,3031523,1991.53,Level 3 Communications uk Limited,13409
Housing Development & Regeneration,DN01,Fees and charges income,Income,2014-03-01,3031542,1339,Sundry Supplier,99999
Corporate Development Team - Vale Recharges,HL01,Agency staff,Employees,2014-04-01,3031567,662.82,Champion Recruitment,10148
Policy & Community Engagement,CP99,Materials & consumables,Supplies & Services,2014-04-01,3031521,-1023.75,Bemrose Booth,10084
Policy & Community Engagement,CE10,Computer Maintenance of hardware,Supplies & Services,2014-04-01,619316,948.25,Danwood Group Ltd,14607
Policy & Community Engagement,CA02,Fees and hired services,Supplies & Services,2014-04-01,619401,800,Ann Berkeley,15592
Cornerstone Website,PY02,Pensions - Compens,Employees,2014-06-01,3031511,20059.98,Oxfordshire CC Pension Fund,10523
Pension Costs,PY02,Superannuation - ER,Employees,2014-06-01,3031511,33333.33,Oxfordshire CC Pension Fund,10523
Building Control Services,FM01,Agency staff,Employees,2014-06-01,619405,1881.02,Champion Recruitment,10148
Facilities Management,MP11,Electricity,Premises,2014-06-01,3030677,713.01,British Gas Trading Ltd,13816
Central Planning,LS01,Legal services,Supplies & Services,2014-06-01,619377,8141.8,Trowers & Hamlins LLP,15161
"HR, IT & customer services",LS01,Legal services,Supplies & Services,2014-06-01,619382,2220,Sharpe Pritchard,10629
Housing Development & Regeneration,AR04,Performers Fees and Charges,Supplies & Services,2014-06-01,1001980,900,Slingshot Theatre Limited,15706
Housing Development Vale Recharges,AD02,Agency staff,Employees,2014-07-01,3031466,728.75,Allen Associates (Oxford) Ltd,10892
Development Management,AH10,Agency staff,Employees,2014-07-01,3031556,1450,Champion Recruitment,10148
Central Planning,AH02,Agency staff,Employees,2014-07-01,3031556,1450,Champion Recruitment,10148
Central Planning,PC01,Pest control services,Supplies & Services,2014-07-01,3031547,865,Total Pest Control UK Ltd,13703
Central Planning,HL01,Materials & consumables,Supplies & Services,2014-07-01,619397,996,Mogo (UK),11600
Central Planning,DR05,Professional,Supplies & Services,2014-07-01,619413,6018,Nomad,10488
Personnel Administration,HM01,Nightly Paid Accomodation,Supplies & Services,2014-07-01,3031513,1155,REDACTED-SENSITIVE INFORMATION,10535
"HR, IT & customer services",CE70,Communications - Telephones & Fax,Supplies & Services,2014-07-01,3031574,2824.33,VODAFONE LIMITED PAGING,10785
Pension Costs - Compens,HM01,Nightly Paid Accomodation,Supplies & Services,2014-07-01,3031576,532.5,REDACTED-SENSITIVE INFORMATION,15133
Pension Costs - Compens,OP01,Other expenses,Supplies & Services,2014-07-01,619404,4164,TriNova Systems Ltd,10762
"HR, IT & customer services",HO01,Professional,Supplies & Services,2014-07-01,3031426,1479.06,Champion Recruitment,10148
Corporate Training,HO01,Professional,Supplies & Services,2014-07-01,3031552,1381.54,Champion Recruitment,10148
Development Management,CE70,Communications - Telephones & Fax,Supplies & Services,2014-07-01,3031575,1195.48,Vodafone Limited Corporate,10784
Pension Costs,AR04,Performers Fees and Charges,Supplies & Services,2014-07-01,1001984,2239.78,Bound and Gagged Limited,15652
Legal & Democratic,FM01,Energy efficiency services,Supplies & Services,2014-07-01,1001985,4933.5,Medlock Electrical Distributors,11097
Corporate Training,FM01,Energy efficiency services,Supplies & Services,2014-07-01,1001985,2737.56,Medlock Electrical Distributors,11097
Management Development,CE11,Computer supplies,Supplies & Services,2014-07-01,1001986,3774.13,Danwood Group Ltd,14607
Corporate Training,RY03,Waste Collection Biffa Fixed All,Third Party Payments,2014-07-01,3031410,803.7,Biffa Municipal Ltd,10778
"HR, IT & customer services",ST01,Waste Collection Biffa Fixed All,Third Party Payments,2014-07-01,3031410,12333,Biffa Municipal Ltd,10778
Development Management,RC01,Waste Collection Biffa Variable Other,Third Party Payments,2014-07-01,3031410,10652.85,Biffa Municipal Ltd,10778
Computer Administration,RC01,Waste Collection Biffa Variable delivery,Third Party Payments,2014-07-01,619414,3150.16,Biffa Municipal Ltd,10778
Computer Administration,ST01,Waste Collection Biffa Fixed All,Third Party Payments,2014-07-01,619414,85278.02,Biffa Municipal Ltd,10778
